title,author,url,description,subjects,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13,language,description_long,unique_id
frankenstein or the modern prometheus,mary wollstonecraft shelley,https://www.gutenberg.org/ebooks/84,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,frankenstein or the modern prometheusmary wollstonecraft shelley,,,951548627780590951
moby dick or the whale,herman melville,https://www.gutenberg.org/ebooks/2701,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,moby dick or the whaleherman melville,,,1703564789290930457
romeo and juliet,william shakespeare,https://www.gutenberg.org/ebooks/1513,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,romeo and julietwilliam shakespeare,,,8116574304531479093
pride and prejudice,jane austen,https://www.gutenberg.org/ebooks/1342,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,pride and prejudicejane austen,,,-157248050107487100
alices adventures in wonderland,lewis carroll,https://www.gutenberg.org/ebooks/11,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,alices adventures in wonderlandlewis carroll,,,5205061722460224780
the strange case of dr jekyll and mr hyde,robert louis stevenson,https://www.gutenberg.org/ebooks/43,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the strange case of dr jekyll and mr hyderobert louis stevenson,,,-3248073235613242564
the complete works of william shakespeare,william shakespeare,https://www.gutenberg.org/ebooks/100,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the complete works of william shakespearewilliam shakespeare,,,-6840014204531668709
a room with a view,e m forster,https://www.gutenberg.org/ebooks/2641,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a room with a viewe m forster,,,4485982797185542330
middlemarch,george eliot,https://www.gutenberg.org/ebooks/145,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,middlemarchgeorge eliot,,,854337937515193726
the scarlet letter,nathaniel hawthorne,https://www.gutenberg.org/ebooks/25344,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the scarlet letternathaniel hawthorne,,,-7794850526736081625
