title,author,description,url,isbn13,cover_image_uri,genre,text,cluster
Faithless,karin slaughter,"The victim was buried alive in the Georgia woods then killed in a horrifying fashion. When Sara and Jeffrey stumbled upon the body, they both became consumed with finding the killer of the young woman.",,9780440242918,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390283925i/21718.jpg,"'Audiobook'], 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Thriller', Mystery;Thriller;Mystery,Crime;Fiction;Suspense;Thriller,Mystery Thriller;Audiobook;Adult;Mystery,Detective;Contemporary, ['Mystery'","Faithless. karin slaughter. 'Audiobook'], 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Thriller', Mystery;Thriller;Mystery,Crime;Fiction;Suspense;Thriller,Mystery Thriller;Audiobook;Adult;Mystery,Detective;Contemporary, ['Mystery'. The victim was buried alive in the Georgia woods then killed in a horrifying fashion. When Sara and Jeffrey stumbled upon the body, they both became consumed with finding the killer of the young woman.",8
Congo,michael crichton,Three adventurers trek into the Congo in search of the diamonds of the Lost City of Zinj.,,9780060541835,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392990908i/16752.jpg,"'Adventure', 'Classics', 'Fantasy'], 'Horror', 'Science Fiction', 'Thriller', Fiction;Science Fiction;Thriller;Adventure;Horror;Mystery;Suspense;Cultural,Africa;Novels;Thriller,Mystery Thriller, ['Fiction'","Congo. michael crichton. 'Adventure', 'Classics', 'Fantasy'], 'Horror', 'Science Fiction', 'Thriller', Fiction;Science Fiction;Thriller;Adventure;Horror;Mystery;Suspense;Cultural,Africa;Novels;Thriller,Mystery Thriller, ['Fiction'. Three adventurers trek into the Congo in search of the diamonds of the Lost City of Zinj.",8
The Museum of Innocence,orhan pamuk,"The Museum of Innocence - set in Istanbul between 1975 and today - tells the story of Kemal, the son of one of Istanbul's richest families, and of his obsessive love for a poor and distant relation, the beautiful Fusun, who is a shop-girl in a small boutique. In his romantic pursuit of Füsun over the next eight years, Kemal compulsively amasses a collection of objects that chronicles his lovelorn progress-a museum that is both a map of a society and of his heart. The novel depicts a panoramic view of life in Istanbul as it chronicles this long, obsessive love affair; and Pamuk beautifully captures the identity crisis experienced by Istanbul's upper classes that find themselves caught between traditional and westernised ways of being. Orhan Pamuk's first novel since winning the Nobel Prize is a stirring love story and exploration of the nature of romance. Pamuk built The Museum of Innocence in the house in which his hero's fictional family lived, to display Kemal's strange collection of objects associated with Fusun and their relationship. The house opened to the public in 2012 in the Beyoglu district of Istanbul. 'Pamuk has created a work concerning romantic love worthy to stand in the company of Lolita, Madame Bovary and Anna Karenina.' --Financial Times",,9780571268412,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357684424i/11691.jpg,"'Contemporary', 'Historical Fiction', 'Literature', 'Novels'], 'Turkish Literature', 'Turkish', ['Fiction', nan","The Museum of Innocence. orhan pamuk. 'Contemporary', 'Historical Fiction', 'Literature', 'Novels'], 'Turkish Literature', 'Turkish', ['Fiction', nan. The Museum of Innocence - set in Istanbul between 1975 and today - tells the story of Kemal, the son of one of Istanbul's richest families, and of his obsessive love for a poor and distant relation, the beautiful Fusun, who is a shop-girl in a small boutique. In his romantic pursuit of Füsun over the next eight years, Kemal compulsively amasses a collection of objects that chronicles his lovelorn progress-a museum that is both a map of a society and of his heart. The novel depicts a panoramic view of life in Istanbul as it chronicles this long, obsessive love affair; and Pamuk beautifully captures the identity crisis experienced by Istanbul's upper classes that find themselves caught between traditional and westernised ways of being. Orhan Pamuk's first novel since winning the Nobel Prize is a stirring love story and exploration of the nature of romance. Pamuk built The Museum of Innocence in the house in which his hero's fictional family lived, to display Kemal's strange collection of objects associated with Fusun and their relationship. The house opened to the public in 2012 in the Beyoglu district of Istanbul. 'Pamuk has created a work concerning romantic love worthy to stand in the company of Lolita, Madame Bovary and Anna Karenina.' --Financial Times",0
The Waste Lands,stephen king,"Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",,9780451173317,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1524596540i/36124936.jpg,"'Audiobook', 'Crime', 'Fiction', 'Mystery Thriller'], 'Mystery', 'Thriller', Fantasy;Fiction;Horror;Science Fiction;Adventure;Westerns;Audiobook;Science Fiction Fantasy;Thriller;Apocalyptic,Post Apocalyptic, ['Horror'","The Waste Lands. stephen king. 'Audiobook', 'Crime', 'Fiction', 'Mystery Thriller'], 'Mystery', 'Thriller', Fantasy;Fiction;Horror;Science Fiction;Adventure;Westerns;Audiobook;Science Fiction Fantasy;Thriller;Apocalyptic,Post Apocalyptic, ['Horror'. Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",8
The 4-hour Body,timothy ferriss,"The best-selling author of The 4-Hour Workweek outlines a program for healthy living that draws on 15 years of research and interviews with leading doctors and health-care experts to offer insight into genetic factors, nutrition requirements and fitness practices. 200,000 first printing.",,9780307463630,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442957271i/368593.jpg,"'Entrepreneurship'], 'Finance', 'Nonfiction', 'Personal Development', 'Productivity', 'Self Help', ['Business', nan","The 4-hour Body. timothy ferriss. 'Entrepreneurship'], 'Finance', 'Nonfiction', 'Personal Development', 'Productivity', 'Self Help', ['Business', nan. The best-selling author of The 4-Hour Workweek outlines a program for healthy living that draws on 15 years of research and interviews with leading doctors and health-care experts to offer insight into genetic factors, nutrition requirements and fitness practices. 200,000 first printing.",0
"Loves Music, Loves to Dance",mary higgins clark,A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,,9780671758899,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416640001i/170650.jpg,"'Adult'], 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Thriller', ['Mystery', nan","Loves Music, Loves to Dance. mary higgins clark. 'Adult'], 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Thriller', ['Mystery', nan. A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.",8
Keeper of the Lost Cities,shannon messenger,"At age 12, Sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf. After being brought to Eternalia to hone her skills, she discovers that she has secrets buried in her memory for which some would kill.",,9781442445932,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1645031892i/58977856.jpg,"'Adventure', 'Fiction', 'Magic'], 'Middle Grade', 'Romance', 'Young Adult', ['Fantasy', nan","Keeper of the Lost Cities. shannon messenger. 'Adventure', 'Fiction', 'Magic'], 'Middle Grade', 'Romance', 'Young Adult', ['Fantasy', nan. At age 12, Sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf. After being brought to Eternalia to hone her skills, she discovers that she has secrets buried in her memory for which some would kill.",3
On Fire,nancy holder,"Based on the hit MTV series ""Teen Wolf."" Scott was just a regular guy until one bite changed his life. Now he struggles to understand who he is and what he might become. Is he more wolf than human--or is it the other way around? Whichever it is, it's not going to be easy.",,9781451674477,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386920844i/303200.jpg,"'Fantasy', 'Fiction'], 'Magic', 'Paranormal', 'Romance', 'Witches', ['Young Adult', nan","On Fire. nancy holder. 'Fantasy', 'Fiction'], 'Magic', 'Paranormal', 'Romance', 'Witches', ['Young Adult', nan. Based on the hit MTV series ""Teen Wolf."" Scott was just a regular guy until one bite changed his life. Now he struggles to understand who he is and what he might become. Is he more wolf than human--or is it the other way around? Whichever it is, it's not going to be easy.",0
Fun Home,alison bechdel,"A fresh and brilliantly told memoir from a cult favorite comic artist, marked by gothic twists, a family funeral home, sexual angst, and great books. This breakout book by Alison Bechdel is a darkly funny family tale, pitch-perfectly illustrated with Bechdel's sweetly gothic drawings. Like Marjane Satrapi's Persepolis, it's a story exhilaratingly suited to graphic memoir form. Meet Alison's father, a historic preservation expert and obsessive restorer of the family's Victorian home, a third-generation funeral home director, a high school English teacher, an icily distant parent, and a closeted homosexual who, as it turns out, is involved with his male students and a family babysitter. Through narrative that is alternately heartbreaking and fiercely funny, we are drawn into a daughter's complex yearning for her father. And yet, apart from assigned stints dusting caskets at the family-owned ""fun home,"" as Alison and her brothers call it, the relationship achieves its most intimate expression through the shared code of books. When Alison comes out as homosexual herself in late adolescense, the denouement is swift, graphic -- and redemptive.",,9780618871711,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1648353152i/38990.jpg,"'Biography'], 'Comics', 'LGBT', 'Memoir', 'Nonfiction', 'Queer', ['Graphic Novels', nan","Fun Home. alison bechdel. 'Biography'], 'Comics', 'LGBT', 'Memoir', 'Nonfiction', 'Queer', ['Graphic Novels', nan. A fresh and brilliantly told memoir from a cult favorite comic artist, marked by gothic twists, a family funeral home, sexual angst, and great books. This breakout book by Alison Bechdel is a darkly funny family tale, pitch-perfectly illustrated with Bechdel's sweetly gothic drawings. Like Marjane Satrapi's Persepolis, it's a story exhilaratingly suited to graphic memoir form. Meet Alison's father, a historic preservation expert and obsessive restorer of the family's Victorian home, a third-generation funeral home director, a high school English teacher, an icily distant parent, and a closeted homosexual who, as it turns out, is involved with his male students and a family babysitter. Through narrative that is alternately heartbreaking and fiercely funny, we are drawn into a daughter's complex yearning for her father. And yet, apart from assigned stints dusting caskets at the family-owned ""fun home,"" as Alison and her brothers call it, the relationship achieves its most intimate expression through the shared code of books. When Alison comes out as homosexual herself in late adolescense, the denouement is swift, graphic -- and redemptive.",0
Journey to the Center of the Earth,jules verne,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",,9780553902549,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684014860i/54479.jpg,"'Adventure', 'Classics', 'Fantasy'], 'France', 'Science Fiction', 'Travel', ['Fiction', nan","Journey to the Center of the Earth. jules verne. 'Adventure', 'Classics', 'Fantasy'], 'France', 'Science Fiction', 'Travel', ['Fiction', nan. The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",3
