"title","author","url","description","subjects"
"Frankenstein; Or, The Modern Prometheus","Mary Wollstonecraft Shelley","https://www.gutenberg.org/ebooks/84","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Moby Dick; Or, The Whale","Herman Melville","https://www.gutenberg.org/ebooks/2701","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Romeo and Juliet","William Shakespeare","https://www.gutenberg.org/ebooks/1513","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Pride and Prejudice","Jane Austen","https://www.gutenberg.org/ebooks/1342","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Alice's Adventures in Wonderland","Lewis Carroll","https://www.gutenberg.org/ebooks/11","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","https://www.gutenberg.org/ebooks/43","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Complete Works of William Shakespeare","William Shakespeare","https://www.gutenberg.org/ebooks/100","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Room with a View","E. M. Forster","https://www.gutenberg.org/ebooks/2641","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Middlemarch","George Eliot","https://www.gutenberg.org/ebooks/145","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Scarlet Letter","Nathaniel Hawthorne","https://www.gutenberg.org/ebooks/25344","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Little Women; Or, Meg, Jo, Beth, and Amy","Louisa May Alcott","https://www.gutenberg.org/ebooks/37106","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Legend of Sleepy Hollow","Washington Irving","https://www.gutenberg.org/ebooks/41","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Dracula","Bram Stoker","https://www.gutenberg.org/ebooks/345","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Blue Castle: a novel","L. M. Montgomery","https://www.gutenberg.org/ebooks/67979","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Beowulf: An Anglo-Saxon Epic Poem","Unknown","https://www.gutenberg.org/ebooks/16328","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Enchanted April","Elizabeth Von Arnim","https://www.gutenberg.org/ebooks/16389","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Jane Eyre: An Autobiography","Charlotte Brontë","https://www.gutenberg.org/ebooks/1260","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Adventures of Ferdinand Count Fathom — Complete","T. Smollett","https://www.gutenberg.org/ebooks/6761","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Cranford","Elizabeth Cleghorn Gaskell","https://www.gutenberg.org/ebooks/394","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Expedition of Humphry Clinker","T. Smollett","https://www.gutenberg.org/ebooks/2160","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Twenty years after","Alexandre Dumas and Auguste Maquet","https://www.gutenberg.org/ebooks/1259","Free kindle book and epub digitized and proofread by volunteers.","[]"
"My Life — Volume 1","Richard Wagner","https://www.gutenberg.org/ebooks/5197","Free kindle book and epub digitized and proofread by volunteers.","[]"
"History of Tom Jones, a Foundling","Henry Fielding","https://www.gutenberg.org/ebooks/6593","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Adventures of Roderick Random","T. Smollett","https://www.gutenberg.org/ebooks/4085","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Crime and Punishment","Fyodor Dostoyevsky","https://www.gutenberg.org/ebooks/2554","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Modest Proposal","Jonathan Swift","https://www.gutenberg.org/ebooks/1080","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Picture of Dorian Gray","Oscar Wilde","https://www.gutenberg.org/ebooks/174","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Importance of Being Earnest: A Trivial Comedy for Serious People","Oscar Wilde","https://www.gutenberg.org/ebooks/844","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Doll's House : a play","Henrik Ibsen","https://www.gutenberg.org/ebooks/2542","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Great Gatsby","F. Scott Fitzgerald","https://www.gutenberg.org/ebooks/64317","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Works of Edgar Allan Poe — Volume 2","Edgar Allan Poe","https://www.gutenberg.org/ebooks/2148","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Tale of Two Cities","Charles Dickens","https://www.gutenberg.org/ebooks/98","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Leviathan","Thomas Hobbes","https://www.gutenberg.org/ebooks/3207","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Adventures of Sherlock Holmes","Arthur Conan Doyle","https://www.gutenberg.org/ebooks/1661","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Adventures of Huckleberry Finn","Mark Twain","https://www.gutenberg.org/ebooks/76","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Metamorphosis","Franz Kafka","https://www.gutenberg.org/ebooks/5200","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Wuthering Heights","Emily Brontë","https://www.gutenberg.org/ebooks/768","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Bleak House","Charles Dickens","https://www.gutenberg.org/ebooks/1023","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Yellow Wallpaper","Charlotte Perkins Gilman","https://www.gutenberg.org/ebooks/1952","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Great Expectations","Charles Dickens","https://www.gutenberg.org/ebooks/1400","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Grimms' Fairy Tales","Jacob Grimm and Wilhelm Grimm","https://www.gutenberg.org/ebooks/2591","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Brothers Karamazov","Fyodor Dostoyevsky","https://www.gutenberg.org/ebooks/28054","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Prince","Niccolò Machiavelli","https://www.gutenberg.org/ebooks/1232","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Count of Monte Cristo","Alexandre Dumas and Auguste Maquet","https://www.gutenberg.org/ebooks/1184","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Iliad","Homer","https://www.gutenberg.org/ebooks/6130","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Anne of Green Gables","L. M. Montgomery","https://www.gutenberg.org/ebooks/45","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Souls of Black Folk","W. E. B. Du Bois","https://www.gutenberg.org/ebooks/408","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The King in Yellow","Robert W. Chambers","https://www.gutenberg.org/ebooks/8492","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Second Treatise of Government","John Locke","https://www.gutenberg.org/ebooks/7370","Free kindle book and epub digitized and proofread by volunteers.","[]"
"War and Peace","graf Leo Tolstoy","https://www.gutenberg.org/ebooks/2600","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Adventures of Tom Sawyer, Complete","Mark Twain","https://www.gutenberg.org/ebooks/74","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Thus Spake Zarathustra: A Book for All and None","Friedrich Wilhelm Nietzsche","https://www.gutenberg.org/ebooks/1998","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Walden, and On The Duty Of Civil Disobedience","Henry David Thoreau","https://www.gutenberg.org/ebooks/205","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Confessions of St. Augustine","Bishop of Hippo Saint Augustine","https://www.gutenberg.org/ebooks/3296","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Simple Sabotage Field Manual","United States. Office of Strategic Services","https://www.gutenberg.org/ebooks/26184","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Christmas Carol in Prose; Being a Ghost Story of Christmas","Charles Dickens","https://www.gutenberg.org/ebooks/46","Free kindle book and epub digitized and proofread by volunteers.","[]"
"White Nights and Other Stories","Fyodor Dostoyevsky","https://www.gutenberg.org/ebooks/36034","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Ulysses","James Joyce","https://www.gutenberg.org/ebooks/4300","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Rip Van Winkle","Washington Irving","https://www.gutenberg.org/ebooks/60976","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Narrative of the Life of Frederick Douglass, an American Slave","Frederick Douglass","https://www.gutenberg.org/ebooks/23","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Du côté de chez Swann (French)","Marcel Proust","https://www.gutenberg.org/ebooks/2650","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Beyond Good and Evil","Friedrich Wilhelm Nietzsche","https://www.gutenberg.org/ebooks/4363","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Don Quijote (Spanish)","Miguel de Cervantes Saavedra","https://www.gutenberg.org/ebooks/2000","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Olaudah Equiano","https://www.gutenberg.org/ebooks/15399","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Tragical History of Doctor Faustus","Christopher Marlowe","https://www.gutenberg.org/ebooks/779","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art","Unknown","https://www.gutenberg.org/ebooks/72679","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Odyssey","Homer","https://www.gutenberg.org/ebooks/1727","Free kindle book and epub digitized and proofread by volunteers.","[]"
"On Liberty","John Stuart Mill","https://www.gutenberg.org/ebooks/34901","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Poems on various subjects, religious and moral","Phillis Wheatley","https://www.gutenberg.org/ebooks/409","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Wonderful Wizard of Oz","L. Frank Baum","https://www.gutenberg.org/ebooks/55","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Treasure Island","Robert Louis Stevenson","https://www.gutenberg.org/ebooks/120","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The divine comedy","Dante Alighieri","https://www.gutenberg.org/ebooks/8800","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Republic","Plato","https://www.gutenberg.org/ebooks/1497","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Spoon River Anthology","Edgar Lee Masters","https://www.gutenberg.org/ebooks/26471","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Carmilla","Joseph Sheridan Le Fanu","https://www.gutenberg.org/ebooks/10007","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Hound of the Baskervilles","Arthur Conan Doyle","https://www.gutenberg.org/ebooks/2852","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Kama Sutra of Vatsyayana","Vatsyayana","https://www.gutenberg.org/ebooks/27827","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Oliver Twist","Charles Dickens","https://www.gutenberg.org/ebooks/730","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Peter Pan :  [Peter and Wendy]","J. M. Barrie","https://www.gutenberg.org/ebooks/16","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Romance of Lust: A classic Victorian erotic novel","Anonymous","https://www.gutenberg.org/ebooks/30254","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Meditations","Emperor of Rome Marcus Aurelius","https://www.gutenberg.org/ebooks/2680","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Ethics of Aristotle","Aristotle","https://www.gutenberg.org/ebooks/8438","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Gulliver's Travels into Several Remote Nations of the World","Jonathan Swift","https://www.gutenberg.org/ebooks/829","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Anna Karenina","graf Leo Tolstoy","https://www.gutenberg.org/ebooks/1399","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Dubliners","James Joyce","https://www.gutenberg.org/ebooks/2814","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Les Misérables","Victor Hugo","https://www.gutenberg.org/ebooks/135","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The best short stories of 1918, and the yearbook of the American short story","Unknown","https://www.gutenberg.org/ebooks/39635","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The King James Version of the Bible","Unknown","https://www.gutenberg.org/ebooks/10","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Sense and Sensibility","Jane Austen","https://www.gutenberg.org/ebooks/161","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891","Various","https://www.gutenberg.org/ebooks/17199","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Autobiography of Benjamin Franklin","Benjamin Franklin","https://www.gutenberg.org/ebooks/20203","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Heart of Darkness","Joseph Conrad","https://www.gutenberg.org/ebooks/219","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Der Struwwelpeter (German)","Heinrich Hoffmann","https://www.gutenberg.org/ebooks/24571","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Don Quixote","Miguel de Cervantes Saavedra","https://www.gutenberg.org/ebooks/996","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Little Women","Louisa May Alcott","https://www.gutenberg.org/ebooks/514","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Moby Multiple Language Lists of Common Words","Grady Ward","https://www.gutenberg.org/ebooks/3206","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Noli Me Tangere (Tagalog)","José Rizal","https://www.gutenberg.org/ebooks/20228","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Symposium","Plato","https://www.gutenberg.org/ebooks/1600","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Le Morte d'Arthur: Volume 1","Sir Thomas Malory","https://www.gutenberg.org/ebooks/1251","Free kindle book and epub digitized and proofread by volunteers.","[]"
"An Inquiry into the Nature and Causes of the Wealth of Nations","Adam Smith","https://www.gutenberg.org/ebooks/3300","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Democracy in America — Volume 1","Alexis de Tocqueville","https://www.gutenberg.org/ebooks/815","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Calculus Made Easy","Silvanus P. Thompson","https://www.gutenberg.org/ebooks/33283","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Critique of Pure Reason","Immanuel Kant","https://www.gutenberg.org/ebooks/4280","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Reign of Greed","José Rizal","https://www.gutenberg.org/ebooks/10676","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Spenser's The Faerie Queene, Book I","Edmund Spenser","https://www.gutenberg.org/ebooks/15272","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Study in Scarlet","Arthur Conan Doyle","https://www.gutenberg.org/ebooks/244","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Paradise Lost","John Milton","https://www.gutenberg.org/ebooks/26","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Hamlet","William Shakespeare","https://www.gutenberg.org/ebooks/1524","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Through the Looking-Glass","Lewis Carroll","https://www.gutenberg.org/ebooks/12","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Emma","Jane Austen","https://www.gutenberg.org/ebooks/158","Free kindle book and epub digitized and proofread by volunteers.","[]"
"An Essay Concerning Humane Understanding, Volume 1","John Locke","https://www.gutenberg.org/ebooks/10615","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Oedipus King of Thebes","Sophocles","https://www.gutenberg.org/ebooks/27673","Free kindle book and epub digitized and proofread by volunteers.","[]"
"How the Other Half Lives: Studies Among the Tenements of New York","Jacob A. Riis","https://www.gutenberg.org/ebooks/45502","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Genealogy of Morals","Friedrich Wilhelm Nietzsche","https://www.gutenberg.org/ebooks/52319","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Life and Adventures of Robinson Crusoe","Daniel Defoe","https://www.gutenberg.org/ebooks/521","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Portrait of the Artist as a Young Man","James Joyce","https://www.gutenberg.org/ebooks/4217","Free kindle book and epub digitized and proofread by volunteers.","[]"
"David Copperfield","Charles Dickens","https://www.gutenberg.org/ebooks/766","Free kindle book and epub digitized and proofread by volunteers.","[]"
"隨園詩話 (Chinese)","Mei Yuan","https://www.gutenberg.org/ebooks/52206","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Incidents in the Life of a Slave Girl, Written by Herself","Harriet A. Jacobs","https://www.gutenberg.org/ebooks/11030","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Hedda Gabler","Henrik Ibsen","https://www.gutenberg.org/ebooks/4093","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1","Unknown","https://www.gutenberg.org/ebooks/15474","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Philippines a Century Hence","José Rizal","https://www.gutenberg.org/ebooks/35899","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Faust [part 1]. Translated Into English in the Original Metres","Johann Wolfgang von Goethe","https://www.gutenberg.org/ebooks/14591","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The History of the Peloponnesian War","Thucydides","https://www.gutenberg.org/ebooks/7142","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Lysistrata","Aristophanes","https://www.gutenberg.org/ebooks/7700","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Don't Marry; or, Advice on How, When and Who to Marry","James W. Donovan","https://www.gutenberg.org/ebooks/53368","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The War of the Worlds","H. G. Wells","https://www.gutenberg.org/ebooks/36","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Winnie-the-Pooh","A. A. Milne","https://www.gutenberg.org/ebooks/67098","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Metamorphoses of Ovid, Books I-VII","Ovid","https://www.gutenberg.org/ebooks/21765","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Candide","Voltaire","https://www.gutenberg.org/ebooks/19942","Free kindle book and epub digitized and proofread by volunteers.","[]"
"池北偶談 (Chinese)","Shizhen Wang","https://www.gutenberg.org/ebooks/25162","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Project Gutenberg Compilation of Short Stories by Chekhov","Anton Pavlovich Chekhov","https://www.gutenberg.org/ebooks/57333","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Notes from the Underground","Fyodor Dostoyevsky","https://www.gutenberg.org/ebooks/600","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Jungle Book","Rudyard Kipling","https://www.gutenberg.org/ebooks/236","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Novo dicionário da língua portuguesa (Portuguese)","Cândido de Figueiredo","https://www.gutenberg.org/ebooks/31552","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Time Machine","H. G. Wells","https://www.gutenberg.org/ebooks/35","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Les misérables Tome I: Fantine (French)","Victor Hugo","https://www.gutenberg.org/ebooks/17489","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Les mille et une nuits, tome premier (French)","Unknown","https://www.gutenberg.org/ebooks/26296","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Fifteen Thousand Useful Phrases","Grenville Kleiser","https://www.gutenberg.org/ebooks/26225","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Napoleon's Letters to Josephine, 1796-1812","Emperor of the French Napoleon I","https://www.gutenberg.org/ebooks/37499","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Tractatus Logico-Philosophicus (German)","Ludwig Wittgenstein","https://www.gutenberg.org/ebooks/5740","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Tess of the d'Urbervilles: A Pure Woman","Thomas Hardy","https://www.gutenberg.org/ebooks/110","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Antiquities of the Jews","Flavius Josephus","https://www.gutenberg.org/ebooks/2848","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Nature","Ralph Waldo Emerson","https://www.gutenberg.org/ebooks/29433","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Art of War","active 6th century B.C. Sunzi","https://www.gutenberg.org/ebooks/132","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Secret Garden","Frances Hodgson Burnett","https://www.gutenberg.org/ebooks/17396","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Myths and Legends of Ancient Greece and Rome","E. M. Berens","https://www.gutenberg.org/ebooks/22381","Free kindle book and epub digitized and proofread by volunteers.","[]"
"On the Origin of Species By Means of Natural Selection","Charles Darwin","https://www.gutenberg.org/ebooks/1228","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Songs of Innocence and of Experience","William Blake","https://www.gutenberg.org/ebooks/1934","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Hard Times","Charles Dickens","https://www.gutenberg.org/ebooks/786","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Plays","Susan Glaspell","https://www.gutenberg.org/ebooks/10623","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Common Sense","Thomas Paine","https://www.gutenberg.org/ebooks/147","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Rámáyan of Válmíki, translated into English verse","Valmiki","https://www.gutenberg.org/ebooks/24869","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Travels of Marco Polo — Volume 1","Marco Polo and da Pisa Rusticiano","https://www.gutenberg.org/ebooks/10636","Free kindle book and epub digitized and proofread by volunteers.","[]"
"On War","Carl von Clausewitz","https://www.gutenberg.org/ebooks/1946","Free kindle book and epub digitized and proofread by volunteers.","[]"
"花月痕 (Chinese)","Zi'an Wei","https://www.gutenberg.org/ebooks/25219","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Sorrows of Young Werther","Johann Wolfgang von Goethe","https://www.gutenberg.org/ebooks/2527","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Ethics","Benedictus de Spinoza","https://www.gutenberg.org/ebooks/3800","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Persuasion","Jane Austen","https://www.gutenberg.org/ebooks/105","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Problems of Philosophy","Bertrand Russell","https://www.gutenberg.org/ebooks/5827","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Fables of La Fontaine — a New Edition, with Notes","Jean de La Fontaine","https://www.gutenberg.org/ebooks/7241","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Essays by Ralph Waldo Emerson","Ralph Waldo Emerson","https://www.gutenberg.org/ebooks/16643","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Complete Original Short Stories of Guy De Maupassant","Guy de Maupassant","https://www.gutenberg.org/ebooks/3090","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Madame Bovary","Gustave Flaubert","https://www.gutenberg.org/ebooks/2413","Free kindle book and epub digitized and proofread by volunteers.","[]"
"De Profundis","Oscar Wilde","https://www.gutenberg.org/ebooks/921","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Pygmalion","Bernard Shaw","https://www.gutenberg.org/ebooks/3825","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Turn of the Screw","Henry James","https://www.gutenberg.org/ebooks/209","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Jungle","Upton Sinclair","https://www.gutenberg.org/ebooks/140","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Communist Manifesto","Karl Marx and Friedrich Engels","https://www.gutenberg.org/ebooks/61","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Twenty Thousand Leagues under the Sea","Jules Verne","https://www.gutenberg.org/ebooks/164","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Junior Classics, Volume 1: Fairy and wonder tales","William Allan Neilson","https://www.gutenberg.org/ebooks/28942","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Gift of the Magi","O. Henry","https://www.gutenberg.org/ebooks/7256","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson","Mary White Rowlandson","https://www.gutenberg.org/ebooks/851","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The History of Herodotus — Volume 1","Herodotus","https://www.gutenberg.org/ebooks/2707","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Essays of Michel de Montaigne — Complete","Michel de Montaigne","https://www.gutenberg.org/ebooks/3600","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Baron Trump's Marvellous Underground Journey","Ingersoll Lockwood","https://www.gutenberg.org/ebooks/57426","Free kindle book and epub digitized and proofread by volunteers.","[]"
"The Awakening, and Selected Short Stories","Kate Chopin","https://www.gutenberg.org/ebooks/160","Free kindle book and epub digitized and proofread by volunteers.","[]"
"On the Duties of the Clergy","Bishop of Milan Saint Ambrose","https://www.gutenberg.org/ebooks/22789","Free kindle book and epub digitized and proofread by volunteers.","[]"
"A Journey to the Centre of the Earth","Jules Verne","https://www.gutenberg.org/ebooks/18857","Free kindle book and epub digitized and proofread by volunteers.","[]"
"Pascal's Pensées","Blaise Pascal","https://www.gutenberg.org/ebooks/18269","Free kindle book and epub digitized and proofread by volunteers.","[]"
